Feature Id,Importances
2,23.51247094578792
43,16.111529517678164
42,5.871258757608408
7,4.918493868027359
5,4.36626426309896
13,3.7090087078375023
12,3.5842062507625916
39,3.003810835619195
14,2.6900392341427644
8,2.6073982136601606
21,2.562794387017165
44,2.373658815331624
0,2.0071295935627695
32,1.800214725261964
23,1.7855086817123196
10,1.5878714288968032
9,1.372656565846366
20,1.292464845852004
15,1.263943707240804
11,1.247567421794823
3,1.183741452747388
26,1.1618859787199878
1,1.1217493962680616
4,1.0722454017553213
17,1.0350784641811221
6,1.0150785879741377
25,0.8990635120581089
36,0.8744653167692371
18,0.6689514857287446
28,0.5052785467711057
35,0.44583860103085987
24,0.39994293095095956
22,0.3855095186576694
27,0.349789948311242
19,0.3374222969841125
41,0.28852352239171836
16,0.2604601990611964
40,0.08353812767837862
31,0.07805365626119246
34,0.05729579729139831
38,0.051420506612482625
37,0.036623527162997764
33,0.019752457892953296
29,0.0
30,0.0
