feature,importance
Age,23.51247094578792
business_loyal,16.111529517678164
is_short_flight,5.871258757608408
Departure/Arrival time convenient,4.918493868027359
Flight Distance,4.36626426309896
Inflight entertainment,3.7090087078375023
Seat comfort,3.5842062507625916
is_middle_age,3.003810835619195
On-board service,2.6900392341427644
Ease of Online booking,2.6073982136601606
Arrival Delay in Minutes,2.562794387017165
delay_satisfaction_risk,2.373658815331624
Gender,2.0071295935627695
delay_difference,1.800214725261964
min_service_rating,1.7855086817123196
Food and drink,1.5878714288968032
Gate location,1.372656565846366
Departure Delay in Minutes,1.292464845852004
Leg room service,1.263943707240804
Online boarding,1.247567421794823
Type of Travel,1.183741452747388
low_rating_count,1.1618859787199878
Customer Type,1.1217493962680616
Class,1.0722454017553213
Checkin service,1.0350784641811221
Inflight wifi service,1.0150785879741377
service_rating_std,0.8990635120581089
age_squared,0.8744653167692371
Inflight service,0.6689514857287446
service_consistency,0.5052785467711057
no_delay,0.44583860103085987
max_service_rating,0.39994293095095956
avg_service_rating,0.3855095186576694
high_rating_count,0.349789948311242
Cleanliness,0.3374222969841125
is_long_flight,0.28852352239171836
Baggage handling,0.2604601990611964
log_distance,0.08353812767837862
total_delay,0.07805365626119246
severe_delay,0.05729579729139831
is_young,0.051420506612482625
is_senior,0.036623527162997764
is_delayed,0.019752457892953296
comfort_score,0.0
digital_experience_score,0.0
